# Plain-language descriptions for the canonical skill vocabulary — the third side of
# the same slugs labels.go names and dictionaries.go resolves. Tab-separated:
# canonical-slug<TAB>description. Blank lines and '#' comments are skipped.
#
# Drafted by cmd/gen-skill-descriptions and edited by a human before merge. Nothing
# here is generated at request time; see descriptions.go.
#
# Every entry opens with the term itself. The model's drafts often opened "It is a…",
# which reads fine under the page's own heading and says nothing at all as a search
# snippet or in an assistant's answer — and being quotable out of context is half of
# why this dictionary exists.
java	Java is an object-oriented programming language that runs anywhere a Java Virtual Machine does, widely used for enterprise systems, Android apps and backend services.
javascript	JavaScript is the programming language of the browser, adding behaviour and interactivity to web pages, and now also widely used on servers.
kafka	Kafka is a distributed event streaming platform that carries high-volume real-time data between systems and keeps a replayable log of it.
kubernetes	Kubernetes is an open-source system that runs containers across a cluster of machines, handling deployment, scaling, networking and restarts.
lead-generation	Lead generation is the marketing work of finding and attracting potential customers and qualifying them into a sales pipeline.
linux	Linux is the open-source operating system kernel behind most servers, cloud instances and Android devices.
llm	An LLM (large language model) is a model trained on very large amounts of text to predict and generate language, and is what powers chat assistants, summarisers and coding tools.
machine-learning	Machine learning is the branch of AI in which a system learns patterns from data rather than being programmed with explicit rules, then uses them to predict or decide.
microservices	Microservices is an architecture that splits an application into small, independently deployable services, each owning one capability.
mysql	MySQL is a widely used open-source relational database, storing data in tables and querying it with SQL.
networking	Networking is the discipline of connecting computers so they can exchange data — designing, configuring and maintaining the routers, switches and protocols involved.
nodejs	Node.js is a runtime that executes JavaScript outside the browser, used to build servers, APIs and command-line tools.
nosql	NoSQL covers databases that store data in something other than relational tables — documents, key-value pairs, graphs — usually to scale out or to hold loosely structured data.
observability	Observability is the practice of understanding a running system from the outside, through its logs, metrics and traces, so failures can be explained rather than only noticed.
oracle	Oracle is the vendor of the Oracle Database, a relational database used for large transactional systems, and of a wide business software suite around it.
performance-management	Performance management is the HR process of setting employee goals, reviewing progress and appraising results, usually supported by a dedicated module of an HR or ERP system.
postgresql	PostgreSQL is an open-source relational database known for standards compliance and extensibility, queried with SQL.
powerbi	Power BI is Microsoft's business intelligence tool for pulling data together and presenting it as interactive reports and dashboards.
process-improvement	Process improvement is the discipline of examining how work is currently done and changing it to remove waste, errors and delay.
program-management	Program management is the coordination of a group of related projects toward a shared outcome that no one of them delivers alone.
python	Python is a general-purpose programming language used across web development, automation, data analysis and machine learning, known for readable syntax.
react	React is a JavaScript library for building user interfaces out of reusable components, most often for single-page web applications.
regulatory-compliance	Regulatory compliance is the work of meeting the laws and industry standards that apply to a business — in software, usually the data-handling, retention and audit requirements.
rest	REST is an architectural style for web APIs in which resources are addressed by URL and manipulated with standard HTTP methods.
salesforce	Salesforce is a cloud CRM platform for sales, service and marketing, extended by a large ecosystem of apps and custom development.
sap	SAP is enterprise software for running a business end to end — finance, supply chain, manufacturing, HR — on one integrated system.
saas	SaaS (software as a service) is software delivered over the internet and paid for by subscription, hosted and maintained by its vendor.
scrum	Scrum is an agile framework that organises product work into fixed-length sprints with defined roles and ceremonies.
sdlc	The SDLC (software development life cycle) is the sequence of stages a software product moves through — planning, design, build, test, release, maintenance — and the practices around them.
snowflake	Snowflake is a cloud data warehouse that separates storage from compute, so large queries can be run without managing the infrastructure underneath.
solution-design	Solution design is the architectural work of turning business requirements into a concrete system: its components, how they interact and what technology they use.
spark	Spark is an open-source engine for processing very large datasets in parallel, supporting SQL, streaming and machine-learning workloads.
spring	Spring is an application framework for Java, providing the structure and libraries most enterprise backends and microservices are built on.
sql	SQL is the query language for relational databases, used to store, retrieve and change data held in tables.
sql-server	SQL Server is Microsoft's relational database system, used for transactional applications, reporting and analytics.
stakeholder-management	Stakeholder management is the project practice of identifying everyone affected by a piece of work and keeping their expectations and the plan aligned.
statistics	Statistics is the mathematics of collecting, analysing and interpreting data, and the basis of most data analysis and machine learning.
strategic-planning	Strategic planning is the management work of setting a long-term direction and deciding where an organisation's resources go to reach it.
tableau	Tableau is a data visualisation tool for building interactive charts and dashboards from data sources without writing code.
terraform	Terraform is an infrastructure as code tool that defines cloud resources in files and provisions them, across providers, from those definitions.
test-automation	Test automation is the practice of writing scripts that exercise software automatically, so checks run on every change instead of by hand.
typescript	TypeScript is JavaScript with static types added, which catches whole classes of mistakes before the code runs.
version-control	Version control records every change to a set of files over time, so past versions can be recovered and several people can edit safely at once.
dbt	dbt is a SQL-based transformation tool for data warehouses: analysts write models as SELECT statements and dbt builds them into tables and views, with tests and lineage.
automation	Automation is a technical practice involving the use of software to perform tasks with minimal human assistance. It is used to manage repetitive IT processes like software testing, system updates, and server configuration.
data-visualization	Data visualization is the graphical representation of information and data using visual elements like charts, graphs, and maps. It is used to make complex data easier to understand and to help people identify trends, patterns, and outliers.
pre-sales	Pre-sales is a professional role or phase in the sales process involving technical support prior to a purchase. It is used to evaluate client needs, demonstrate solutions, and validate that a product meets specific requirements before a contract is signed.
grafana	Grafana is an open-source analytics and visualization platform used to create interactive dashboards for monitoring data from various sources.
android	Android is a mobile operating system based on the Linux kernel designed for touchscreen devices such as smartphones and tablets. It manages device hardware and provides the platform required to run mobile applications.
prototyping	Prototyping is the process of creating an early, simplified model of a product. It is used to test concepts, gather feedback, and identify design flaws before building the final version.
mongodb	MongoDB is a non-relational database that stores data in flexible, document-like structures instead of tables. It is used to manage large volumes of unstructured data and support high-performance applications.
ios	iOS is a mobile operating system developed by Apple to run on its iPhone, iPad, and iPod touch devices.
hubspot	HubSpot is a customer relationship management platform that offers software for marketing, sales, and customer service. It is used by businesses to manage interactions with current and potential customers throughout the sales lifecycle.
sharepoint	SharePoint is a web-based collaborative platform and content management system used to build internal websites and store documents. It enables teams to organize, share, and access information from any device.
figma	Figma is a collaborative interface design tool used for creating user interface layouts, prototypes, and wireframes. It allows multiple users to edit and review design files simultaneously within a web browser.
powershell	PowerShell is a command-line shell and scripting language used for automating system administration tasks and managing configurations.
assembly	Assembly is a low-level programming language used to create direct instructions for a computer's processor, often for controlling hardware or optimizing system performance.
airflow	Airflow is an open-source workflow management tool used to programmatically author, schedule, and monitor data pipelines.
user-stories	User stories are a software development tool used in Agile project management to define requirements. They describe a feature from the perspective of the end-user, explaining what they want to achieve and why.
express	Express.js is a web application framework for Node.js used to build web servers and application programming interfaces.
tdd	Test Driven Development is a software development methodology where developers write automated tests before writing the actual code. It is used to guide the design process and ensure that code functions correctly.
servicenow	ServiceNow is a cloud-based software platform designed for IT service management (ITSM) and workflow automation. It is used to help organizations manage digital workflows and streamline business processes.
oop	OOP is a programming paradigm that structures software around objects, which bundle data with the logic that manipulates that data. It is used to organize code into modular, reusable components.
cloud-security	Cloud security is a cybersecurity discipline focused on protecting cloud-based systems, data, and infrastructure from unauthorized access and cyber threats.
pytorch	PyTorch is an open-source machine learning library used for building and training deep neural networks.
seo	SEO is a digital marketing practice used to improve a website's visibility in organic search engine results. It involves optimizing content and site structure to increase the quantity and quality of traffic from search engines.
prompt-engineering	Prompt engineering is the practice of crafting inputs to guide generative artificial intelligence models toward producing specific outputs. It is used to optimize interactions with large language models to generate desired text or code.
employee-relations	Employee relations is a human resources discipline focused on managing the relationship between an organization and its workforce. It is used to resolve workplace conflicts, address employee concerns, and ensure compliance with labor laws.
firmware	Firmware is a specific type of software embedded directly into a hardware device to control its basic operations. It provides the instructions necessary for the device's hardware to function and communicate with other systems.
vue	Vue is a JavaScript framework for building user interfaces and single-page applications. It enables developers to create reactive web components with a simplified template syntax.
json	JSON is a text-based data format used to store and transport information between servers and web applications. It organizes data into structured objects and lists.
cisco	Cisco is a technology vendor that manufactures networking hardware and software used to build and manage data communication networks.
six-sigma	Six Sigma is a methodology used to improve business processes by identifying and removing the causes of defects. It relies on statistical data analysis to minimize variability and ensure consistent quality.
kotlin	Kotlin is a general-purpose programming language that runs on the Java Virtual Machine. It is used primarily for Android development, server-side applications, and cross-platform mobile projects.
backbone	Backbone.js is a JavaScript library used to structure client-side web applications using models and views. It allows developers to build single-page applications and synchronize data with a server via a RESTful JSON interface.
virtualization	Virtualization is a computing technology that creates a virtual version of a physical resource, such as a server, storage device, or network. It allows a single physical machine to run multiple operating systems or applications simultaneously to maximize hardware efficiency.
mcp	MCP is a professional certification that validates an individual's technical skills and proficiency with Microsoft products and technologies.
tcp-ip	TCP/IP is a standard set of communication protocols used to interconnect network devices on the internet and other networks. It dictates how data is formatted, addressed, transmitted, routed, and received to enable communication between computers.
oauth	OAuth is an open standard authorization protocol that allows users to grant third-party applications limited access to their accounts without sharing their passwords.
kanban	Kanban is a project management methodology that uses visual boards to track the progress of work items. It is used to manage workflow and limit the amount of work in progress at any one time.
php	PHP is a server-side scripting language primarily used for web development. It enables the creation of dynamic web pages and allows applications to interact with databases.
nextjs	Next.js is a React framework used for building server-rendered and static web applications.
scala	Scala is a programming language that runs on the Java Virtual Machine. It is used to build scalable applications and big data processing systems.
pyspark	PySpark is a Python library that provides an interface for Apache Spark, a framework used for processing large volumes of data. It allows data professionals to perform data analysis and machine learning tasks using Python.
deep-learning	Deep learning is a subset of machine learning that employs neural networks with multiple layers to identify patterns in data. It is used to automate tasks such as image and speech recognition.
langchain	LangChain is an open-source framework used for building applications that run on large language models. It provides tools to connect these AI models to external data sources and manage complex workflows.
serverless	Serverless is a cloud computing execution model where a provider automatically manages the allocation of machine resources. It is used to build and run applications without requiring developers to provision or manage servers.
datadog	Datadog is a cloud-based monitoring and analytics platform used to observe the performance of IT infrastructure, applications, and services. It collects data on metrics, logs, and events to help users troubleshoot issues and monitor system health.
slack	Slack is a cloud-based team communication platform that organizes conversations into channels for different projects, teams, or topics. It enables real-time messaging, file sharing, and integration with various business tools to facilitate workplace collaboration.
swift	Swift is a programming language developed by Apple for creating applications on its operating systems, including iOS, macOS, and watchOS.
rust	Rust is a programming language designed for memory safety and performance. It is used to build operating systems, embedded systems, and other performance-critical applications.
splunk	Splunk is a software platform used to search, monitor, and analyze machine-generated data from applications and IT infrastructure. It enables organizations to visualize data streams and identify operational issues in real time.
illustrator	Illustrator is a vector graphics editing software used to create scalable visual designs such as logos, icons, illustrations, and typography for print and digital media.
helm	Helm is a package manager for Kubernetes that helps users define, install, and upgrade applications. It uses templates called charts to manage the deployment of software and its dependencies.
vmware	VMware is a virtualization platform that allows multiple operating systems to run on a single physical server. It is used to create and manage virtual machines for data centers and cloud computing environments.
eks	EKS is a cloud service used to run and manage Kubernetes clusters on Amazon Web Services infrastructure.
fastapi	FastAPI is a Python web framework used for building application programming interfaces. It uses standard Python type hints to facilitate data validation and documentation generation.
visio	Visio is a diagramming software used to create flowcharts, organizational charts, network diagrams, and floor plans.
go	Go is a statically typed programming language originally developed at Google. It is used for building backend systems, web servers, and cloud applications.
accounts-receivable	Accounts Receivable is a financial module within enterprise software used to track money owed to a company by its customers for goods or services delivered. It manages outstanding invoices and the collection of payments.
cloudformation	CloudFormation is an AWS cloud service that allows users to automatically configure and manage infrastructure resources using templates.
maven	Maven is a build automation and project management tool used primarily for Java projects to manage dependencies, builds, and documentation.
marketing-automation	Marketing automation is software that allows businesses to automate repetitive marketing tasks such as email campaigns and social media scheduling. It is used to organize and personalize marketing efforts to nurture leads and retain customers.
zero-trust	Zero Trust is a security framework that mandates strict authentication and authorization for every user and device attempting to access network resources. It is used to protect data by assuming no user or system is trustworthy by default.
computer-vision	Computer vision is a field of artificial intelligence that enables computers to interpret and derive meaningful information from digital images and videos. It is used to automate tasks that require visual understanding, such as object detection and image classification.
rabbitmq	RabbitMQ is an open-source message broker that allows different applications to communicate and exchange information. It acts as an intermediary to receive, store, and forward messages between services.
soc-2	SOC 2 is a compliance framework and auditing standard used to verify how service organizations manage customer data. It assesses controls related to security, availability, processing integrity, confidentiality, and privacy.
elk	ELK is a software stack of three open-source tools used to collect, search, and visualize data from multiple sources. It is primarily utilized for log management and data analytics.
unity	Unity is a cross-platform game engine used to create video games and interactive simulations for computers, mobile devices, and consoles.
playwright	Playwright is a testing framework that allows developers to automate web browsers to verify the functionality of web applications. It enables the creation of scripts that simulate user actions like clicking and typing to test software across different browsers.
secure-coding	Secure coding is a set of development practices used to prevent security vulnerabilities in software. It involves writing code that protects against cyber attacks and unauthorized access.
blockchain	Blockchain is a distributed ledger technology that maintains a continuously growing list of records, called blocks, which are linked together securely and used for tracking transactions.
technical-writing	Technical writing is a communication skill focused on translating complex technical information into clear documentation. It is used to create manuals, guides, and instructions that help users or developers understand how to use software and hardware.
ruby	Ruby is a programming language primarily used for web development and serves as the foundation for the Ruby on Rails framework.
postman	Postman is a software tool for API development used to create, test, and document web services. It enables users to send requests to servers and view the responses to ensure applications communicate correctly.
hadoop	Hadoop is an open-source framework used for storing and processing very large data sets across clusters of computers. It allows for the distributed processing of big data using simple programming models.
mvc	MVC is a software architectural pattern used to separate an application into the model, the view, and the controller. It organizes code to distinguish between the user interface, the underlying data, and the logic that connects them.
django	Django is a Python web framework used for building websites and applications. It provides ready-to-use components for database management and user authentication to help developers work faster.
windows-server	Windows Server is a server operating system designed to run networked applications and services. It is used by organizations to manage data storage, user access, and IT infrastructure.
anthropic	Anthropic is an artificial intelligence research company that develops large language models and provides an API for building generative AI applications.
entra-id	Entra ID is a cloud service for identity and access management. It allows organizations to verify user credentials and manage permissions for applications and data.
gitops	GitOps is an operational framework that uses a Git repository as the single source of truth for defining infrastructure and application configurations. It is used to automate deployment and synchronize the live environment with the declared code state.
cloudwatch	CloudWatch is a monitoring service used to observe applications and resources on the Amazon Web Services platform. It collects data such as metrics and logs to track performance and set alarms for system events.
redshift	Redshift is a cloud data warehouse used for storing and analyzing large volumes of data. It allows users to run complex queries on structured and semi-structured datasets using standard SQL.
dynamodb	DynamoDB is a managed NoSQL database service that stores data in key-value and document formats. It allows applications to store and retrieve data with consistent low latency.
email-marketing	Email marketing is a digital marketing strategy that involves sending commercial messages to a group of people via electronic mail. It is used to promote products, share news, or nurture customer relationships.
netsuite	NetSuite is a cloud-based enterprise resource planning software suite used to manage business processes like accounting, inventory, and customer relationships.
penetration-testing	Penetration testing is a security assessment method that simulates cyberattacks against a computer system, network, or application to identify vulnerabilities that an attacker could exploit.
scikit-learn	scikit-learn is a machine learning library for the Python programming language. It provides tools for data analysis, data mining, and building predictive models.
iso-9001	ISO 9001 is an international standard for quality management systems. It is used to demonstrate that an organization can consistently provide products and services that meet customer and regulatory requirements.
react-native	React Native is a mobile application framework used to create native applications for iOS and Android operating systems using a single codebase written in JavaScript.
matlab	MATLAB is a programming language and numerical computing environment designed for mathematical computation and data visualization. It is used for algorithm development, data analysis, and modeling in engineering and science.
indesign	InDesign is a desktop publishing software used to create page layouts for printed and digital media. It allows users to combine text and graphics to produce documents such as books, brochures, and magazines.
hibernate	Hibernate is an object-relational mapping framework for the Java programming language that maps Java classes to database tables and handles data persistence.
sas	SAS is a statistical software suite and programming language used for advanced analytics, data management, and business intelligence.
bitbucket	Bitbucket is a web-based Git source code repository hosting service. It is used by development teams to manage code, collaborate on projects, and automate build and deployment pipelines.
openid	OpenID is an authentication protocol that allows users to log into multiple websites and applications using a single set of credentials. It enables websites to verify a user's identity without requiring the website to store or manage passwords.
shopify	Shopify is a cloud-based e-commerce platform that enables businesses to build and manage online retail stores. It provides tools for website hosting, inventory management, and payment processing.
sap-s4hana	SAP S/4HANA is an enterprise resource planning (ERP) software suite that allows organizations to manage business operations and customer relations. It is used to integrate various functions such as finance, supply chain, and human resources into a single system.
design-thinking	Design thinking is a user-centered methodology for solving complex problems by focusing on the end-user's experience. It is used to empathize with users, define requirements, and prototype solutions before full-scale development.
macos	macOS is the operating system developed by Apple for its Macintosh line of personal computers. It manages the computer's hardware and software resources and allows users to interact with the device.
microsoft-dynamics	Microsoft Dynamics is a suite of enterprise resource planning and customer relationship management software applications used to manage business operations like finance, sales, and customer service.
grpc	gRPC is a remote procedure call framework that enables client and server applications to communicate with each other efficiently. It is used to connect microservices and allows systems to exchange data using Protocol Buffers.
predictive-analytics	Predictive analytics is a branch of data analysis that uses historical data and statistical modeling to forecast future outcomes or trends.
edr	EDR is a cybersecurity system that monitors computers and network devices to detect malicious activity like ransomware or hacking attempts. It provides tools to analyze threats and automatically isolate infected devices to stop the spread of attacks.
atlassian	Atlassian is a software company that develops tools for project management, issue tracking, and team collaboration. These products are used by software developers and other teams to organize work, manage tasks, and document projects.
numpy	NumPy is a Python library for numerical computing that provides support for large multi-dimensional arrays and matrices. It includes mathematical functions to operate on these data structures, serving as a foundation for scientific computing applications.
rails	Rails is a server-side web application framework written in the Ruby programming language that developers use to build web applications.
asana	Asana is a web and mobile work management tool used to help teams organize, track, and manage their work.
sales-engineering	Sales engineering is a job function focused on explaining and demonstrating complex technical products to potential customers. It serves as a bridge between sales and development teams to ensure a proposed solution meets the client's technical requirements.
redux	Redux is a JavaScript library for managing the state of an application. It centralizes application data to make it easier to maintain and update information across complex user interfaces.
content-marketing	Content marketing is a strategic marketing approach focused on creating and distributing material to attract and retain a target audience. It is used to generate interest in a company's products or services by providing information relevant to the user.
notion	Notion is a productivity and collaboration platform used for note-taking, project management, and organizing information into wikis and databases.
mlflow	MLflow is an open-source platform used to manage the end-to-end machine learning lifecycle. It helps developers track experiments, package code for reproducibility, and deploy models to production.
data-mining	Data mining is a process of discovering patterns and extracting useful information from large data sets. It is a technique used to analyze data and predict future trends based on historical behavior.
fiber	Fiber is a web framework for the Go programming language used to build web applications and APIs. It provides tools to handle HTTP requests, manage routing, and organize server-side code.
delta-lake	Delta Lake is an open-source storage layer that brings ACID transactions to data lakes to ensure data reliability. It enables the execution of reliable data processing and analytics on top of existing file systems and cloud storage.
meta-ads	Meta Ads is an advertising platform used to create, manage, and analyze paid campaigns on Facebook and Instagram.
smartsheet	Smartsheet is a cloud-based project management and collaboration tool. It uses a spreadsheet-like interface to track tasks, manage workflows, and automate business processes.
distributed-computing	Distributed computing is a computing paradigm where multiple computers collaborate as a unified system through network communication. It is used for handling large tasks, improving performance, and creating reliable systems across connected computers.
scada	SCADA is a category of industrial control system used to monitor and gather real-time data from sensors and equipment in sectors such as manufacturing and energy. It enables operators to supervise and control physical processes remotely from a central location.
hpc	HPC is a computing architecture that aggregates the processing power of multiple computers to handle massive calculations and data processing. It is used for complex tasks like scientific simulations, 3D modeling, and analyzing large datasets.
gradle	Gradle is a build automation tool used to compile, test, and package software code. It manages the dependencies and workflows required to create executable applications from source files.
j2ee	J2EE is a computing platform specification for developing and running large-scale, multi-tiered enterprise applications. It provides a standardized set of tools and APIs for building backend systems and web services using the Java programming language.
finops	FinOps is a financial management practice and operational framework that helps organizations understand, control, and optimize their cloud spending. It brings together technology, finance, and business teams to ensure cloud costs align with business value.
revenue-recognition	Revenue recognition is an accounting principle and a module within financial software that dictates the specific point in time when income is recorded in the books. It is used to ensure that a company's financial reporting complies with regulatory standards and matches the delivery of goods or services.
data-lineage	Data lineage is a data governance process that tracks the flow of data from its origin to its destination. It is used to visualize how data transforms and moves through an organization's systems.
vba	VBA is a programming language used to automate repetitive tasks and create custom functions within Microsoft Office applications. It allows users to write scripts that control the features and data of software like Excel and Word.
vertex-ai	Vertex AI is a cloud service that provides a platform for building, training, and deploying machine learning models.
customer-onboarding	Customer Onboarding is a business process that involves setting up new clients with a software system or service. It is used to facilitate user training, configuration, and support to ensure the client can successfully use the product.
hive	Hive is a data warehouse infrastructure built on top of Apache Hadoop used for querying and analyzing large datasets. It allows users to write queries similar to SQL to process structured data stored in a distributed file system.
ssl	SSL is a security protocol that creates an encrypted link between a web server and a browser. It is used to ensure that data transmitted between the two remains private.
websockets	WebSockets is a communication protocol that provides full-duplex communication channels over a single TCP connection. It is used to enable real-time, two-way data transfer between a server and a client.
sagemaker	SageMaker is a cloud service used to build, train, and deploy machine learning models.
gap-analysis	Gap analysis is an assessment technique that compares current performance or capabilities with desired objectives. It identifies the differences between the two states to determine the necessary steps for improvement or change.
employer-branding	Employer Branding is a recruitment strategy focused on shaping a company's reputation and appeal to potential and current employees. It is used to attract and retain talent by communicating the organization's culture and values.
predictive-modeling	Predictive modeling is a statistical analysis technique used to forecast future outcomes based on historical data patterns. It employs mathematical algorithms to predict trends and behaviors within a dataset.
web3	Web3 is a decentralized iteration of the internet based on blockchain technology. It is used to build applications where users own their data and interact without centralized intermediaries.
bdd	BDD is a software development methodology that uses natural language examples to define system behavior, helping technical teams and business stakeholders collaborate on software requirements.
aurora	Aurora is a fully managed relational database service compatible with MySQL and PostgreSQL that organizations use to store and access data in the cloud.
jpa	JPA is a Java specification that provides a standard interface for object-relational mapping, allowing developers to store, retrieve, and manage Java objects in a relational database.
cassandra	Cassandra is a distributed NoSQL database used for managing large amounts of data across multiple servers. It is designed to provide high availability and scalability without a single point of failure.
neural-networks	Neural Networks are machine learning algorithms modeled after the biological structure of the human brain. They are used to recognize patterns and classify data for tasks like image recognition and predictive analytics.
rpa	Robotic Process Automation is a technology that uses software bots to mimic human actions and execute repetitive, rule-based digital tasks. It is utilized to streamline business workflows like data entry, form filling, and system integration without changing existing IT infrastructure.
swagger	Swagger is a set of tools for designing, building, and documenting RESTful application programming interfaces. It allows developers to visualize and interact with the API's resources without having access to the server code.
powerapps	Power Apps is a low-code development platform used to build custom business applications for web and mobile devices.
clickhouse	ClickHouse is an open-source column-oriented database management system used for generating analytical reports from large volumes of data.
i2c	I2C is a serial communication protocol used to connect low-speed peripheral devices, such as sensors and memory chips, to a main processor.
uml	UML is a standardized modeling language used to visualize the design and structure of software systems.
reinforcement-learning	Reinforcement learning is a type of machine learning where software algorithms learn to make decisions by receiving rewards for good actions and penalties for bad ones. It is used to train artificial intelligence to achieve specific goals through a process of trial and error.
bicep	Bicep is a domain-specific language for defining and deploying resources on Microsoft Azure. It is used to automate infrastructure provisioning through code that compiles to Azure Resource Manager templates.
opensearch	OpenSearch is an open-source search and analytics suite used for real-time data ingestion, visualization, and log analysis. It enables users to store, search, and analyze large volumes of data.
usability-testing	Usability testing is a quality assurance technique where researchers observe real users interacting with a product to identify interface problems. It is used to ensure a website or application is easy to navigate and functions effectively for its intended audience.
laravel	Laravel is a PHP web framework used for developing web applications and APIs. It provides tools and libraries that streamline common tasks such as routing, authentication, and database management.
